kraj_code,kraj,obvod_code,obvod,last_year_votes,total_count_okrsok,votes,count_okrsok,counted_percentage
1,Bratislavský kraj,101,Bratislava,289940,402,293612.7827482684,402,1.0
1,Bratislavský kraj,102,Malacky,41829,56,42104.79988565788,56,1.0
1,Bratislavský kraj,103,Pezinok,40936,53,42156.482513693096,53,1.0
1,Bratislavský kraj,104,Senec,54406,71,54043.32584783248,71,1.0
2,Trnavský kraj,201,Dunajská Streda,62964,124,62949.561348027695,124,1.0
2,Trnavský kraj,202,Galanta,50902,84,51352.90410848438,84,1.0
2,Trnavský kraj,203,Piešťany,36388,63,36460.2391069041,63,1.0
2,Trnavský kraj,204,Senica,57561,97,58307.466560910914,97,1.0
2,Trnavský kraj,205,Trnava,101423,166,101462.07005714072,166,1.0
3,Trenčiansky kraj,301,Bánovce nad Bebravou,20170,62,20554.85640723258,62,1.0
3,Trenčiansky kraj,302,Nové Mesto nad Váhom,49624,99,51049.00851571169,99,1.0
3,Trenčiansky kraj,303,Považská Bystrica,61194,121,60797.54607576519,121,1.0
3,Trenčiansky kraj,304,Prievidza,100021,190,99478.24888016973,190,1.0
3,Trenčiansky kraj,305,Trenčín,100048,176,100445.3633514136,176,1.0
4,Nitriansky kraj,401,Komárno,44000,108,43621.19748694399,108,1.0
4,Nitriansky kraj,402,Levice,56299,163,55408.277266556186,163,1.0
4,Nitriansky kraj,403,Nitra,116112,209,117921.06583641362,209,1.0
4,Nitriansky kraj,404,Nové Zámky,70647,143,71316.46091942677,143,1.0
4,Nitriansky kraj,405,Šaľa,26054,43,26167.488647338014,43,1.0
4,Nitriansky kraj,406,Topoľčany,39714,88,39504.12898006186,88,1.0
5,Žilinský kraj,501,Čadca,46129,77,45210.20346436867,77,1.0
5,Žilinský kraj,502,Dolný Kubín,22701,42,21689.97877270022,42,1.0
5,Žilinský kraj,503,Liptovský Mikuláš,42265,96,41126.97684938701,96,1.0
5,Žilinský kraj,504,Martin,63435,139,62483.50197243503,139,1.0
5,Žilinský kraj,505,Námestovo,54465,77,55400.28529773506,77,1.0
5,Žilinský kraj,506,Ružomberok,33077,58,33048.16241962132,58,1.0
5,Žilinský kraj,507,Žilina,129270,219,129999.50214549276,219,1.0
6,Banskobystrický kraj,601,Banská Bystrica,63677,129,64060.457948100404,129,1.0
6,Banskobystrický kraj,602,Brezno,30537,67,30668.434295397612,67,1.0
6,Banskobystrický kraj,603,Lučenec,41572,133,41297.0015250857,133,1.0
6,Banskobystrický kraj,604,Rimavská Sobota,48930,217,49001.9656429615,217,1.0
6,Banskobystrický kraj,605,Veľký Krtíš,19866,85,19692.177294278274,85,1.0
6,Banskobystrický kraj,606,Zvolen,65935,167,66658.36943241263,167,1.0
6,Banskobystrický kraj,607,Žiar nad Hronom,47316,113,47954.10544609067,113,1.0
7,Prešovský kraj,701,Bardejov,37860,116,38250.787392864855,116,1.0
7,Prešovský kraj,702,Humenné,50930,166,50836.01788453109,166,1.0
7,Prešovský kraj,703,Kežmarok,30656,68,30400.26037171846,68,1.0
7,Prešovský kraj,704,Poprad,71674,137,71483.5945587459,137,1.0
7,Prešovský kraj,705,Prešov,116724,229,117171.48287730762,229,1.0
7,Prešovský kraj,706,Stará Ľubovňa,24220,62,25124.25602960506,62,1.0
7,Prešovský kraj,707,Stropkov,9584,52,9626.68483538688,52,1.0
7,Prešovský kraj,708,Svidník,15189,78,14788.64889832534,78,1.0
7,Prešovský kraj,709,Vranov nad Topľou,34799,93,34999.05913343212,93,1.0
8,Košický kraj,801,Košice,119004,199,118529.29777205901,199,1.0
8,Košický kraj,802,Košice - okolie,58287,147,59257.49359743345,147,1.0
8,Košický kraj,803,Michalovce,55771,184,56297.01759136587,184,1.0
8,Košický kraj,804,Rožňava,26254,88,26389.348507846524,88,1.0
8,Košický kraj,805,Spišská Nová Ves,55762,113,55572.91643979246,113,1.0
8,Košický kraj,806,Trebišov,41565,128,42040.91022364552,128,1.0
9,Zahraničie,900,Zahraničie,3825,1,3359.9676801180913,1,1.0
