kraj_code,kraj,obvod_code,obvod,okres_code,okres,town_code,town,okrsok,last_year_votes,votes,last_year_votes_town,percentage_of_town
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,971,789.7339337526954,30370,0.031972341126111296
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,1011,832.1493681430662,30370,0.033289430358906816
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,787,780.4633095150766,30370,0.025913730655251894
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,837,917.014997455185,30370,0.027560092196246295
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,987,941.0422113883326,30370,0.0324991768192295
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,871,975.3354524969832,30370,0.02867961804412249
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,1018,1177.4980813420377,30370,0.03351992097464603
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,887,884.32190405587,30370,0.0292064537372407
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,884,1031.8117216167248,30370,0.029107672044781034
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,1260,1397.2672160829304,30370,0.04148831083305894
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,11,871,725.6552745380152,30370,0.02867961804412249
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,12,779,933.5100211235463,30370,0.025650312808692788
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,13,878,1021.7382095852862,30370,0.028910108659861707
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,14,867,915.0276002201475,30370,0.028547909120842936
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,15,1076,1236.7651546712748,30370,0.035429700362199536
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,16,937,780.9235053508359,30370,0.0308528152782351
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,17,929,781.1384542995642,30370,0.030589397431675994
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,18,946,968.7074122210004,30370,0.031149160355614092
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,19,709,601.8886554967027,30370,0.023345406651300627
