kraj_code,kraj,obvod_code,obvod,okres_code,okres,town_code,town,last_year_votes,total_count_okrsok,votes,count_okrsok,counted_percentage,counted_percentage_of_votes
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,30370,34,30124.826565833766,34,1.0,0.9999999999999998
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,13431,19,14231.991914616794,19,1.0,1.0
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,50571,70,51177.28777984124,70,1.0,1.0
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,11532,19,11325.12158648938,19,1.0,0.9999999999999998
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,27053,45,27952.602475817384,45,1.0,1.0000000000000002
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,14854,18,14723.547158100444,18,1.0,0.9999999999999999
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,3518,5,3435.0693109775957,5,1.0,1.0
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,10301,14,10580.401896440017,14,1.0,1.0
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,21914,32,21527.81853883688,32,1.0,1.0
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,22596,30,23306.900372717693,30,1.0,1.0
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,1124,2,1185.9794337581939,2,1.0,1.0
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,4851,6,4979.702061423173,6,1.0,1.0
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,3712,4,3560.7109197551304,4,1.0,1.0
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,1090,2,1090.924454159027,2,1.0,1.0
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,1718,2,1719.9749517820824,2,1.0,1.0
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,68572,96,70005.97065712155,96,1.0,1.0000000000000002
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,2733,4,2683.9526705968537,4,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,500267,Záhorie (vojenský obvod),93,1,103.68137109479254,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,743,1,805.3224483771534,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,429,1,349.87701701099047,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,473,1,423.2188629238523,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504769,Rohožník,1854,3,1905.7345528458545,3,1.0,1.0
