kraj_code,kraj,obvod_code,obvod,town_code,town,number_of_potential_voters
1,Bratislavský kraj,101,Volebný obvod č. 1,528595,Bratislava - Staré Mesto,41433
1,Bratislavský kraj,102,Volebný obvod č. 2,529320,Bratislava - Ružinov,70536
1,Bratislavský kraj,103,Volebný obvod č. 3,529338,Bratislava - Vrakuňa,17417
1,Bratislavský kraj,104,Volebný obvod č. 4,529311,Bratislava - Podunajské Biskupice,19586
1,Bratislavský kraj,105,Volebný obvod č. 5,529346,Bratislava - Nové Mesto,38429
1,Bratislavský kraj,106,Volebný obvod č. 6,529354,Bratislava - Rača,21896
1,Bratislavský kraj,106,Volebný obvod č. 6,529362,Bratislava - Vajnory,4881
1,Bratislavský kraj,107,Volebný obvod č. 7,529397,Bratislava - Karlova Ves,30572
1,Bratislavský kraj,108,Volebný obvod č. 8,529401,Bratislava - Devín,1541
1,Bratislavský kraj,108,Volebný obvod č. 8,529371,Bratislava - Devínska Nová Ves,14284
1,Bratislavský kraj,109,Volebný obvod č. 9,529389,Bratislava - Dúbravka,31037
1,Bratislavský kraj,110,Volebný obvod č. 10,529419,Bratislava - Lamač,6530
1,Bratislavský kraj,110,Volebný obvod č. 10,529427,Bratislava - Záhorská Bystrica,5155
1,Bratislavský kraj,111,Volebný obvod č. 11,529435,Bratislava - Čunovo,1259
1,Bratislavský kraj,111,Volebný obvod č. 11,529443,Bratislava - Jarovce,2149
1,Bratislavský kraj,111,Volebný obvod č. 11,529460,Bratislava - Petržalka,97822
1,Bratislavský kraj,111,Volebný obvod č. 11,529494,Bratislava - Rusovce,3456
1,Bratislavský kraj,112,Volebný obvod č. 12,508063,Malacky,15592
1,Bratislavský kraj,112,Volebný obvod č. 12,504874,Studienka,1426
1,Bratislavský kraj,112,Volebný obvod č. 12,500267,Záhorie (vojenský obvod),124
1,Bratislavský kraj,112,Volebný obvod č. 12,504980,Závod,2387
1,Bratislavský kraj,113,Volebný obvod č. 13,507890,Gajary,2673
1,Bratislavský kraj,113,Volebný obvod č. 13,508012,Kostolište,1657
1,Bratislavský kraj,113,Volebný obvod č. 13,504556,Malé Leváre,1377
1,Bratislavský kraj,113,Volebný obvod č. 13,508241,Suchohrad,575
1,Bratislavský kraj,113,Volebný obvod č. 13,504947,Veľké Leváre,3074
1,Bratislavský kraj,113,Volebný obvod č. 13,508365,Záhorská Ves,1500
1,Bratislavský kraj,114,Volebný obvod č. 14,507962,Jakubov,1405
1,Bratislavský kraj,114,Volebný obvod č. 14,508039,Láb,1613
1,Bratislavský kraj,114,Volebný obvod č. 14,508195,Plavecký Štvrtok,2097
1,Bratislavský kraj,114,Volebný obvod č. 14,508349,Vysoká pri Morave,1896
1,Bratislavský kraj,114,Volebný obvod č. 14,508381,Zohor,2919
1,Bratislavský kraj,115,Volebný obvod č. 15,507954,Jablonové,1113
1,Bratislavský kraj,115,Volebný obvod č. 15,508021,Kuchyňa,1510
1,Bratislavský kraj,115,Volebný obvod č. 15,508055,Lozorno,2600
1,Bratislavský kraj,115,Volebný obvod č. 15,508161,Pernek,743
1,Bratislavský kraj,115,Volebný obvod č. 15,504629,Plavecké Podhradie,635
1,Bratislavský kraj,115,Volebný obvod č. 15,504637,Plavecký Mikuláš,613
1,Bratislavský kraj,115,Volebný obvod č. 15,504769,Rohožník,2923
1,Bratislavský kraj,115,Volebný obvod č. 15,504858,Sološnica,1342
1,Bratislavský kraj,116,Volebný obvod č. 16,507831,Borinka,704
1,Bratislavský kraj,116,Volebný obvod č. 16,508080,Marianka,1793
1,Bratislavský kraj,116,Volebný obvod č. 16,508233,Stupava,9644
1,Bratislavský kraj,117,Volebný obvod č. 17,508179,Pezinok,19868
1,Bratislavský kraj,118,Volebný obvod č. 18,508047,Limbach,1813
1,Bratislavský kraj,118,Volebný obvod č. 18,508225,Slovenský Grob,4166
1,Bratislavský kraj,118,Volebný obvod č. 18,507989,Svätý Jur,4674
1,Bratislavský kraj,118,Volebný obvod č. 18,508306,Viničné,2154
1,Bratislavský kraj,119,Volebný obvod č. 19,508101,Modra,7666
1,Bratislavský kraj,119,Volebný obvod č. 19,508250,Šenkvice,4207
1,Bratislavský kraj,119,Volebný obvod č. 19,508314,Vinosady,1183
1,Bratislavský kraj,120,Volebný obvod č. 20,507806,Báhoň,1489
1,Bratislavský kraj,120,Volebný obvod č. 20,507849,Budmerice,1980
1,Bratislavský kraj,120,Volebný obvod č. 20,507857,Častá,1923
1,Bratislavský kraj,120,Volebný obvod č. 20,507873,Doľany,890
1,Bratislavský kraj,120,Volebný obvod č. 20,507881,Dubová,941
1,Bratislavský kraj,120,Volebný obvod č. 20,555487,Igram,461
1,Bratislavský kraj,120,Volebný obvod č. 20,507946,Jablonec,801
1,Bratislavský kraj,120,Volebný obvod č. 20,555495,Kaplna,720
1,Bratislavský kraj,120,Volebný obvod č. 20,508187,Píla,285
1,Bratislavský kraj,120,Volebný obvod č. 20,508268,Štefanová,312
1,Bratislavský kraj,120,Volebný obvod č. 20,508322,Vištuk,1125
1,Bratislavský kraj,121,Volebný obvod č. 21,508217,Senec,15715
1,Bratislavský kraj,122,Volebný obvod č. 22,507822,Blatné,1388
1,Bratislavský kraj,122,Volebný obvod č. 22,503681,Boldog,435
1,Bratislavský kraj,122,Volebný obvod č. 22,507865,Čataj,952
1,Bratislavský kraj,122,Volebný obvod č. 22,503797,Hrubá Borša,1139
1,Bratislavský kraj,122,Volebný obvod č. 22,503801,Hrubý Šúr,808
1,Bratislavský kraj,122,Volebný obvod č. 22,503819,Hurbanova Ves,484
1,Bratislavský kraj,122,Volebný obvod č. 22,503851,Kostolná pri Dunaji,603
1,Bratislavský kraj,122,Volebný obvod č. 22,503894,Kráľová pri Senci,1754
1,Bratislavský kraj,122,Volebný obvod č. 22,508136,Nová Dedinka,2553
1,Bratislavský kraj,122,Volebný obvod č. 22,582549,Nový Svet,78
1,Bratislavský kraj,122,Volebný obvod č. 22,503983,Reca,1352
1,Bratislavský kraj,122,Volebný obvod č. 22,508284,Tureň,938
1,Bratislavský kraj,122,Volebný obvod č. 22,508292,Veľký Biel,2360
1,Bratislavský kraj,123,Volebný obvod č. 23,507814,Bernolákovo,7116
1,Bratislavský kraj,123,Volebný obvod č. 23,507911,Chorvátsky Grob,5147
1,Bratislavský kraj,123,Volebný obvod č. 23,507938,Ivanka pri Dunaji,5392
1,Bratislavský kraj,123,Volebný obvod č. 23,555509,Zálesie,1719
