obec_kod;obec;okres_kod;okres;kraj_kod;kraj;vymera;krajina;krajina_kod;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE;latitude;longitude
511226;Ábelová;606;Lučenec;6;Banskobystrický;52170765;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Lučenec;SK0326;Ábelová;SK0326511226;48.4107111;19.4324517
557757;Abovce;609;Rimavská Sobota;6;Banskobystrický;8199569;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Abovce;SK0329557757;48.31133015;20.33812301223696
503673;Abrahám;202;Galanta;2;Trnavský;15779514;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Galanta;SK0212;Abrahám;SK0212503673;48.2479831;17.6194193
519014;Abrahámovce;701;Bardejov;7;Prešovský;5899305;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Abrahámovce;SK0411519014;49.16462355;21.34178935057406
523399;Abrahámovce;703;Kežmarok;7;Prešovský;6653165;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Kežmarok;SK0413;Abrahámovce;SK0413523399;49.0438114;20.45511820538793
512044;Abramová;509;Turčianske Teplice;5;Žilinský;12635439;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turčianske Teplice;SK0319;Abramová;SK0319512044;48.9347217;18.78611609865975
524158;Abranovce;707;Prešov;7;Prešovský;9583406;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Abranovce;SK0417524158;48.9380972;21.35730570679186
505838;Adamovské Kochanovce;309;Trenčín;3;Trenčiansky;9662581;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Adamovské Kochanovce;SK0229505838;48.86367185;17.91709562801864
520012;Adidovce;702;Humenné;7;Prešovský;20765157;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412;Adidovce;SK0412520012;49.02213195;22.0634024411761
500020;Alekšince;403;Nitra;4;Nitriansky;15072464;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Alekšince;SK0233500020;48.35484345;17.95640343201695
