,low,high,sigma,phase,squared_difference_quantile
0,0.7,1.3,0.5,0.0,0.9101374874070202
0,0.7,1.3,0.5,1.0,0.7497539986430507
0,0.7,1.3,0.5,2.0,0.66915488123648
0,0.7,1.3,0.5,3.0,0.5853055747646515
0,0.7,1.3,0.5,4.0,0.5532343578099703
0,0.7,1.3,0.5,5.0,0.4804120518276089
0,0.7,1.3,0.5,6.0,0.46609813626410623
0,0.7,1.3,0.5,7.0,0.4141262579286243
0,0.7,1.3,0.5,8.0,0.36227134103923325
0,0.7,1.3,0.5,9.0,0.3593959873064302
0,0.7,1.3,0.5,10.0,0.3497092514101691
0,0.7,1.3,0.5,11.0,0.33271942688633055
0,0.7,1.3,0.5,12.0,0.33741934017693
0,0.7,1.3,0.5,13.0,0.3374038536815284
0,0.7,1.3,0.5,14.0,0.32604502287388
0,0.7,1.3,0.5,15.0,0.3129187912844317
0,0.7,1.3,0.5,16.0,0.3046379291371091
0,0.7,1.3,0.5,17.0,0.30883431518261356
0,0.7,1.3,0.5,18.0,0.30987357229163015
0,0.7,1.3,0.5,19.0,0.30441476567356235
0,0.7,1.3,0.5,20.0,0.2986969417248183
0,0.7,1.3,0.5,21.0,0.2955123075313823
0,0.7,1.3,0.5,22.0,0.29241799214483494
0,0.7,1.3,0.5,23.0,0.2856141746168456
0,0.7,1.3,0.5,24.0,0.26076268795169644
0,0.7,1.3,0.5,25.0,0.24194332950172398
0,0.7,1.3,0.5,26.0,0.22329127647487465
0,0.7,1.3,0.5,27.0,0.22539745481054022
0,0.7,1.3,0.5,28.0,0.20657219671227053
0,0.7,1.3,0.5,29.0,0.19939319000130085
0,0.7,1.3,0.5,30.0,0.19492934255054536
0,0.7,1.3,0.5,31.0,0.18741259108734362
0,0.7,1.3,0.5,32.0,0.17611815685119178
0,0.7,1.3,0.5,33.0,0.15227933182711892
0,0.7,1.3,0.5,34.0,0.13986212452027158
0,0.7,1.3,0.5,35.0,0.1307306734606754
0,0.7,1.3,0.5,36.0,0.13576785777459593
0,0.7,1.3,0.5,37.0,0.1277558426682867
0,0.7,1.3,0.5,38.0,0.1215671261551716
0,0.7,1.3,0.5,39.0,0.11518893106476785
0,0.7,1.3,0.5,40.0,0.11117996705721829
0,0.7,1.3,0.5,41.0,0.1079234977153599
0,0.7,1.3,0.5,42.0,0.09765471990289404
0,0.7,1.3,0.5,43.0,0.09237002865873867
0,0.7,1.3,0.5,44.0,0.08813173050093444
0,0.7,1.3,0.5,45.0,0.08261445240397026
0,0.7,1.3,0.5,46.0,0.07853660778139476
0,0.7,1.3,0.5,47.0,0.07233063861702364
0,0.7,1.3,0.5,48.0,0.06800977639455336
0,0.7,1.3,0.5,49.0,0.06297764254806407
0,0.7,1.3,0.5,50.0,0.05941240995847029
0,0.7,1.3,0.5,51.0,0.0589613634478636
0,0.7,1.3,0.5,52.0,0.05303242246408698
0,0.7,1.3,0.5,53.0,0.05058319010174435
0,0.7,1.3,0.5,54.0,0.049050305895015064
0,0.7,1.3,0.5,55.0,0.04727566672432718
0,0.7,1.3,0.5,56.0,0.04477713849518892
0,0.7,1.3,0.5,57.0,0.04666644329447576
0,0.7,1.3,0.5,58.0,0.048492116792100144
0,0.7,1.3,0.5,59.0,0.04701444992862431
0,0.7,1.3,0.5,60.0,0.04446352620537576
0,0.7,1.3,0.5,61.0,0.044457701519017866
0,0.7,1.3,0.5,62.0,0.04442332451999224
0,0.7,1.3,0.5,63.0,0.04533589261303336
0,0.7,1.3,0.5,64.0,0.046955141565623866
0,0.7,1.3,0.5,65.0,0.04288971094010427
0,0.7,1.3,0.5,66.0,0.0416446616692831
0,0.7,1.3,0.5,67.0,0.03792857571516014
0,0.7,1.3,0.5,68.0,0.035684917128635946
0,0.7,1.3,0.5,69.0,0.03551725567383143
0,0.7,1.3,0.5,70.0,0.03612782341687429
0,0.7,1.3,0.5,71.0,0.03494221335348269
0,0.7,1.3,0.5,72.0,0.035311067357514936
0,0.7,1.3,0.5,73.0,0.03450352117138816
0,0.7,1.3,0.5,74.0,0.03404079678458815
0,0.7,1.3,0.5,75.0,0.0331295211162841
0,0.7,1.3,0.5,76.0,0.033700125752308116
0,0.7,1.3,0.5,77.0,0.03307527523365127
0,0.7,1.3,0.5,78.0,0.03165799647016042
0,0.7,1.3,0.5,79.0,0.03148908211315327
0,0.7,1.3,0.5,80.0,0.03013918773380847
0,0.7,1.3,0.5,81.0,0.030533309144088912
0,0.7,1.3,0.5,82.0,0.028219809445682212
0,0.7,1.3,0.5,83.0,0.029740497617025838
0,0.7,1.3,0.5,84.0,0.028055957738973125
0,0.7,1.3,0.5,85.0,0.027356824186090107
0,0.7,1.3,0.5,86.0,0.02557848419960328
0,0.7,1.3,0.5,87.0,0.024772550007888968
0,0.7,1.3,0.5,88.0,0.025380025118322228
0,0.7,1.3,0.5,89.0,0.023607777485005182
0,0.7,1.3,0.5,90.0,0.02231223237564306
0,0.7,1.3,0.5,91.0,0.021417946538348942
0,0.7,1.3,0.5,92.0,0.020197089198507587
0,0.7,1.3,0.5,93.0,0.018309891513264932
0,0.7,1.3,0.5,94.0,0.016412870862400165
0,0.7,1.3,0.5,95.0,0.014211710352668142
0,0.7,1.3,0.5,96.0,0.012712186251179083
0,0.7,1.3,0.5,97.0,0.010576428524272055
0,0.7,1.3,0.5,98.0,0.008446400700922377
0,0.7,1.3,0.5,99.0,0.0
